Site,Date,ET_pure_ICOS,ET_LST_Landsat,ET_Groupe_ERA5
Grignon,2023-06-05,0.503417885619946,0.07522821011854919,0.4204385479207909
Grignon,2023-06-21,0.3143797295263359,0.24043389479701835,0.3652051913963484
Grignon,2023-06-28,0.3173059094235005,0.08474168276740185,0.12335474917180855
Grignon,2023-09-24,0.4025786818481059,0.10361286187337945,0.2661406871418078
Grignon,2023-10-10,0.3899680919934292,0.0,0.3041700591954572
Grignon,2023-10-27,0.2663413974556403,0.09133870603165088,0.0
Grignon,2023-12-06,0.1064936823852287,0.0,0.009354847467394881
Lamasquere,2022-02-10,0.2502935912475131,0.0,0.24906637083429908
Lamasquere,2022-04-07,0.0131558716466363,0.0,0.550587355176646
Lamasquere,2022-05-01,0.2790980368808837,0.0,0.637254440191695
Lamasquere,2022-05-10,0.4550128119909452,0.02367811119180123,0.6242804738497706
Lamasquere,2022-05-18,0.2887732117392563,0.037702326944267825,0.6047404020507664
Lamasquere,2022-06-03,0.3664601863640219,0.0,0.5031909799877546
Lamasquere,2022-06-11,0.3883561432078747,0.031660482904058825,0.388734714898304
Lamasquere,2022-06-18,0.2018227280012141,0.0,0.44206227616069904
Lamasquere,2022-07-13,0.1826051058111085,0.0,0.18935323949815913
Lamasquere,2022-07-29,0.2291601548345956,0.0,0.2640751760117139
Lamasquere,2022-08-29,0.0949384969615748,0.0,0.12950932364192513
Lamasquere,2022-09-30,0.318694544763325,0.0,0.13861261917659273
Lamasquere,2022-10-16,0.0112729324892913,0.0,0.20005904794857712
Lamasquere,2022-10-25,0.0995902588779587,0.0,0.1409373916854932
Lamasquere,2022-12-19,0.0856616997162815,-0.017029323246472564,0.145118386240765
Lamasquere,2023-02-13,0.040669057551309,0.0,0.2696875243377996
Lamasquere,2023-02-14,0.0,0.0,0.23814570237692692
Lamasquere,2023-03-01,0.0,0.0,0.17535904592561413
Lamasquere,2023-04-18,0.2069026681718976,0.0,0.10785503561352712
Lamasquere,2023-04-19,0.1627078082292945,0.0,0.24322799369070508
Lamasquere,2023-05-04,0.2660141105023816,0.0,0.15321801505819957
Lamasquere,2023-05-28,0.295376711565289,0.0,0.24504296804950548
Lamasquere,2023-05-29,0.2822100930767736,0.0,0.21716205930449073
Lamasquere,2023-06-05,0.2029240977936204,0.0,0.287028166592663
